Gene	MB176	MB95	MB40	MB37	MB38	MB28	MB113	MB18	MB19	MB90	MB26	MB35	MB110	MB64	MB7	MB91	MB206	MB9	MB200	MB12	MB1M21	MB4M23	MB4M26	MB4M77	MB1M1
ENSG00000215567.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201241.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258463.1	0	4.1831542425552	0	0	0	0	0	0.0273682782780279	0	0	0	0	0	0	0	0.0380485283332661	0	0	0	0	0	0	0	0	0
ENSG00000188403.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0253724802130563	0	0	0	0	0	0	0
ENSG00000258706.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259337.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259490.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270961.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271317.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270783.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271197.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271336.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259769.1	0.00936748844274601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258397.1	0	0.0341716496355626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239471.2	0.0269751912952974	0	0	0	0.0258081010569279	0	0	0	0	0.0346207257285122	0	0	0	0.0227795030110268	0	0.0291490420451462	0	0	0	0	0	0	0	0	0
ENSG00000258410.1	0	0.0569925764900817	0.0266048411548267	0	0	0	0.00915927778351823	0	0	0.0178550945627816	0	0	0	0	0	0	0	0	0	0	0	0	0.0379579065801053	0.0307056244366777	0
ENSG00000258780.1	0.181331916945601	0.23809343961676	0.20672964213733	0.156533905825044	0.0667255899368425	0.127604546088151	0.243359040565415	0.0487879737226194	0.196503004954459	0.733983659397642	0.116040639127437	0.0611835675524359	0.0842347905067445	0.135459183111145	0.016752022516888	0.0452180582120147	0.0418759338484263	0.227640736144661	0.433943691278075	0.403850832834214	0.0318026922140139	0.188367158637308	0.142716405984796	0.06157271578538	0.0785045699760909
