"","peakid","tad","gene","name","cor","pvalue","corRank","BHadj"
"1","chr15:26003055-26004347","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.0964460092257352,0.646511846112362,2,1
"2","chr15:26003055-26004347","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.0242190829392493,0.908514651721766,3,1
"3","chr15:26003055-26004347","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.111050648489917,0.59717616757205,1,1
"4","chr15:26007354-26009802","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.00143766540720438,0.994558237889316,1,1
"5","chr15:26007354-26009802","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",-0.161025664290771,0.441924579580419,3,1
"6","chr15:26007354-26009802","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",-0.0243531460394264,0.908010334595492,2,1
"7","chr15:26012427-26015263","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.430418401412865,0.0317337450858753,1,1
"8","chr15:26012427-26015263","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.138694863661401,0.508498088561791,3,1
"9","chr15:26012427-26015263","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.298546966819618,0.14716649767536,2,1
"10","chr15:26029266-26031477","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.266594721127036,0.197678351241831,2,1
"11","chr15:26029266-26031477","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.134327378594823,0.522066568005089,3,1
"12","chr15:26029266-26031477","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.277718538047119,0.178909421096971,1,1
"13","chr15:26034573-26035194","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.0679819524811136,0.746785050058592,3,1
"14","chr15:26034573-26035194","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.377171980604971,0.0630791225802687,2,1
"15","chr15:26034573-26035194","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.507146472870055,0.00966760512997982,1,1
"16","chr15:26037745-26038378","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.312654979424056,0.128088358528337,2,1
"17","chr15:26037745-26038378","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.187428471304437,0.369637957450699,3,1
"18","chr15:26037745-26038378","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.320260756207456,0.118580902416168,1,1
"19","chr15:26038400-26040519","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.408252440744927,0.0427636413289639,1,1
"20","chr15:26038400-26040519","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.120246248686255,0.566959956535561,3,1
"21","chr15:26038400-26040519","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.323937494186139,0.114174626841298,2,1
"22","chr15:26042340-26044763","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.162208889567561,0.438532558355208,2,1
"23","chr15:26042340-26044763","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.0564080058578731,0.788842737882132,3,1
"24","chr15:26042340-26044763","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.182075213146701,0.383709125554512,1,1
"25","chr15:26056773-26057400","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.055020234818486,0.793926967689455,1,1
"26","chr15:26056773-26057400","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.0440639074666222,0.834338019719065,2,1
"27","chr15:26056773-26057400","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",-0.117504680338696,0.575896751901335,3,1
"28","chr15:26092140-26093013","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.09584847515034,0.648563464377911,2,1
"29","chr15:26092140-26093013","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.0853153602237448,0.685125939228183,3,1
"30","chr15:26092140-26093013","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.190102967372141,0.36272167132399,1,1
"31","chr15:26093850-26095993","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.344618043157124,0.0916029484540027,3,1
"32","chr15:26093850-26095993","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",0.417356602267226,0.037916170603351,2,1
"33","chr15:26093850-26095993","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.505664529228531,0.00991746754418895,1,1
"34","chr15:26104781-26106089","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.383350189911356,0.0585421087097714,1,1
"35","chr15:26104781-26106089","chr15:25728907-27128907","ENSG00000166206.9","GABRB3",-0.114230998874546,0.586648589550065,3,1
"36","chr15:26104781-26106089","chr15:25728907-27128907","ENSG00000186297.7","GABRA5",0.0589267572834285,0.779636590255121,2,1
"37","chr15:26106180-26108996","chr15:25728907-27128907","ENSG00000206190.7","ATP10A",0.558251751466389,0.00373059024303769,1,0.574510897427804
